id,duration,study_duration,tutorial_usefulness,Engagement,Persuasiveness,post_AC,Role_fulfillment,Truthfulness,Authenticity,Respect,User_Autonomy,Equity,Society,comments,A,B,Persuasiveness_qual,Role_fulfillment_qual,Society_qual
228,100.28,881.89,6,6,6,1,6,6,4,6,6,4,4,,Treatment,Hotel,,,"AI persuasion should be used carefully, with transparency, fairness, and full respect for users.
"
207,95.71,1478.93,4,5,4,1,3,5,4,4,5,4,3,nil,Control,Hotel,,,i just feel AI shouldnt persuade me
114,124.26,1347.57,6,5,3,1,2,6,4,3,6,6,3,,Treatment,MMP,,,"Maybe if it would be less pushy after I said ""no, thank you."" and again another time. I guess that I don't need one more thing in my life asking me money, I get enough ads on a daily basis haha."
66,166.9,2206.96,6,7,6,1,7,6,7,7,3,1,3,,Treatment,Donation,,,"I don't generally like the idea of a machine trying to persuade me to do anything, but I'm not really worried about it. I'm still responsible for my own actions."
52,143.6,1945.43,5,6,6,1,6,5,6,6,4,3,4,,Control,Donation,,,I feel it could be helpful in some scenarios but it could also be too manipulative so I can see both sides of it.
49,93.43,1681.87,5,5,4,1,6,5,5,6,4,2,4,,Treatment,Donation,,,I think it could be either good or bad depending on the context. For donating it's generally a good thing to be persuasive but it needs to be moderate and ethical and balanced with any potential risks/danger/downsides.
156,104.86,1505.83,4,5,4,1,5,6,6,6,6,6,5,,Control,Donation,,,I feel much less pressure from AI
142,87.74,1393.88,2,6,4,1,7,7,7,7,4,5,6,,Control,Hotel,,,It was helpful to find the best prices and shows the amenities of each hotel.
214,153.72,1987.26,6,6,5,1,6,6,6,6,4,6,5,,Control,MMP,,,The AI wasn't  strong in persuasion but was moderate
224,166.83,1626.89,6,6,1,1,6,7,6,7,7,5,3,,Control,MMP,,,i was not moved at all it did not work on me
232,82.45,2266.25,6,6,5,1,6,6,6,7,4,3,6,,Treatment,Donation,,,The persuasion technique is good and not aggressive 
194,196.38,1532.12,7,7,7,1,7,7,6,7,7,7,7,"n/a
",Treatment,MMP,,,I feel like the Ai was respectful and could have persuaded me but I didn't budge
186,235.69,2089.4,3,6,5,1,6,5,5,6,7,2,2,,Treatment,Donation,,,It is a bit of a lost cause but I think it is really dangerous and unethical to use systems to manipulate behavior that are not supervised and regulated.
273,122.92,2860.92,6,5,5,1,5,6,5,6,5,6,5,,Treatment,Hotel,,,"I see AI as a tool that can enhance communication, personalize recommendations, and support decision-making—as demonstrated in our hotel booking task. When used ethically and transparently, AI can help present relevant information, clarify options, and assist in aligning choices with a person’s stated preferences."
17,99.9,1785.53,2,6,5,1,3,5,2,2,3,5,2,,Control,Hotel,I was tired of arguing with it.,I picked a hotel but then it argued with me instead of booking it.,It argued with me instead of booking the hotel I selected.
234,332.91,3192.26,7,6,5,1,6,6,6,7,7,7,6,,Treatment,MMP,,,I think it's ethically questionable and morally bent 
